Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  50600 	Average Loss:  1.2037716980196596
Iteration:  50700 	Average Loss:  1.1012138701192933
Iteration:  50800 	Average Loss:  1.257792506723829
Iteration:  50900 	Average Loss:  1.1991639036623327
Iteration:  51000 	Average Loss:  1.0511932266684199
Iteration:  51100 	Average Loss:  1.1749312688509288
Iteration:  51200 	Average Loss:  1.2464405701001662
Iteration:  51300 	Average Loss:  1.0641582117949862
Iteration:  51400 	Average Loss:  1.3195286906587822
Iteration:  51500 	Average Loss:  1.1032592308843232
Iteration:  51600 	Average Loss:  1.395574787718105
Iteration:  51700 	Average Loss:  1.294434702205483
Iteration:  51800 	Average Loss:  1.224542437602807
Iteration:  51900 	Average Loss:  1.273547925406852
Iteration:  52000 	Average Loss:  1.3850234012657758
Iteration:  52100 	Average Loss:  1.1446609538980104
Iteration:  52200 	Average Loss:  1.1929823861646027
Iteration:  52300 	Average Loss:  1.2700253863397146
Iteration:  52400 	Average Loss:  1.0464861031045232
Iteration:  52500 	Average Loss:  1.3905311325358047
Iteration:  52600 	Average Loss:  1.3021449622951529
Iteration:  52700 	Average Loss:  1.172296805676967
Iteration:  52800 	Average Loss:  1.112268194462096
